TRAMO_ID,ANYO,PROVINCIA,VIA_NORM,TIPO_VIA,PK_INICIO,PK_FIN,LONGITUD,IMD_TOTAL,IMD_LIG,IMD_PES,VEH_KM,N_ACC,HUBO_ACCIDENTE,TASA_100M
91,2016,Madrid,A-2,Autopista libre y autovía,5.9,9.36,3.46,134639.0,127923.0,6716.0,170035593.1,16,1,9.409795
92,2016,Madrid,A-2,Autopista libre y autovía,9.36,10.63,1.27,134639.0,127923.0,6716.0,62411908.4,9,1,14.420325
93,2016,Madrid,A-2,Autopista libre y autovía,10.63,14.8,4.17,134639.0,127923.0,6716.0,204927290.0,17,1,8.295625
94,2016,Madrid,A-2,Autopista libre y autovía,14.8,16.78,1.98,134639.0,127923.0,6716.0,97303605.3,15,1,15.415667
95,2016,Madrid,A-2,Autopista libre y autovía,16.78,17.26,0.48,103741.0,96732.0,7009.0,18175423.2,5,1,27.509676
96,2016,Madrid,A-2,Autopista libre y autovía,17.26,20.11,2.85,103741.0,96732.0,7009.0,107916575.3,37,1,34.285743
97,2016,Madrid,A-2,Autopista libre y autovía,20.11,22.31,2.2,103741.0,96732.0,7009.0,83304023.0,15,1,18.006333
98,2016,Madrid,A-2,Autopista libre y autovía,22.31,24.0,1.69,103741.0,96732.0,7009.0,63992635.8,6,1,9.376079
99,2016,Madrid,A-2,Autopista libre y autovía,24.0,25.49,1.49,102773.0,90459.0,12314.0,55893096.0,2,1,3.578259
100,2016,Madrid,A-2,Autopista libre y autovía,25.49,28.71,3.22,102773.0,90459.0,12314.0,120789106.9,15,1,12.418338
101,2016,Madrid,A-2,Autopista libre y autovía,28.71,29.76,1.05,102773.0,90459.0,12314.0,39387752.2,4,1,10.155441
102,2016,Madrid,A-2,Autopista libre y autovía,29.76,35.44,5.68,82703.0,70224.0,12479.0,171459859.6,26,1,15.163899
103,2016,Madrid,A-2,Autopista libre y autovía,35.44,38.76,3.32,82703.0,70224.0,12479.0,100219495.4,10,1,9.978099
104,2016,Guadalajara,A-2,Autopista libre y autovía,38.76,42.07,3.31,82703.0,70224.0,12479.0,99917629.4,4,1,4.003298
105,2016,Guadalajara,A-2,Autopista libre y autovía,42.07,44.35,2.28,79528.0,68749.0,10779.0,66183201.6,0,0,0.0
106,2016,Guadalajara,A-2,Autopista libre y autovía,44.35,47.66,3.31,79528.0,68749.0,10779.0,96081753.2,5,1,5.203902
107,2016,Guadalajara,A-2,Autopista libre y autovía,47.66,50.84,3.18,79528.0,68749.0,10779.0,92308149.6,10,1,10.83328
108,2016,Guadalajara,A-2,Autopista libre y autovía,50.84,55.12,4.28,51516.0,45619.0,5897.0,80478295.2,12,1,14.910853
109,2016,Guadalajara,A-2,Autopista libre y autovía,55.12,61.07,5.95,28255.0,21301.0,6954.0,61362796.2,6,1,9.777912
110,2016,Guadalajara,A-2,Autopista libre y autovía,61.07,70.77,9.7,28255.0,21301.0,6954.0,100036827.5,3,1,2.998896
111,2016,Guadalajara,A-2,Autopista libre y autovía,70.77,73.44,2.67,28255.0,21301.0,6954.0,27535910.2,1,1,3.631621
112,2016,Guadalajara,A-2,Autopista libre y autovía,73.44,78.13,4.69,23690.0,17259.0,6431.0,40553726.5,2,1,4.931729
113,2016,Guadalajara,A-2,Autopista libre y autovía,78.13,83.0,4.87,21955.0,15562.0,6393.0,39026110.2,1,1,2.562387
