TRAMO_ID;anio;provincia;carretera;pk_inicio_km;pk_fin_km;imd_total;tipo_via;proporcion_pesados;EN_TEST_COMUN;MOTIVOS_EXCLUSION_EVALUACION;ESTADO_PREDICCION;PROB_ACCIDENTE_TRAMO_ANIO;FUERA_RANGO_TRAIN;INTERVALO_ID;CLAVE_TRAMO_ANIO;VERSION_MODELO;IMD_IMPUTADO
IMD_39232;2024;Burgos;A-1;185.0;189.5;21476.0;Autopista_autovia;0.1863009871484447;True;;OK;0.5952756284883177;False;Burgos|A-1|185|189.5;Burgos|A-1|185|189.5|2024;v2 | Random Forest | Base;False
IMD_39233;2024;Burgos;A-1;189.5;196.2;21476.0;Autopista_autovia;0.1863009871484447;True;;OK;0.7417343786682955;False;Burgos|A-1|189.5|196.2;Burgos|A-1|189.5|196.2|2024;v2 | Random Forest | Base;False
IMD_39234;2024;Burgos;A-1;196.2;197.6;23627.0;Autopista_autovia;0.1990942565708723;True;;OK;0.44416592184255316;False;Burgos|A-1|196.2|197.6;Burgos|A-1|196.2|197.6|2024;v2 | Random Forest | Base;False
IMD_39235;2024;Burgos;A-1;197.6;199.2;23627.0;Autopista_autovia;0.1990942565708723;True;;OK;0.4045074126978428;False;Burgos|A-1|197.6|199.2;Burgos|A-1|197.6|199.2|2024;v2 | Random Forest | Base;False
IMD_39236;2024;Burgos;A-1;199.2;201.0;23627.0;Autopista_autovia;0.1990942565708723;True;;OK;0.4071983580388923;False;Burgos|A-1|199.2|201;Burgos|A-1|199.2|201|2024;v2 | Random Forest | Base;False
IMD_39237;2024;Burgos;A-1;201.0;202.3;23627.0;Autopista_autovia;0.1990942565708723;True;;OK;0.47371611895251997;False;Burgos|A-1|201|202.3;Burgos|A-1|201|202.3|2024;v2 | Random Forest | Base;False
IMD_39238;2024;Burgos;A-1;202.3;209.3;23362.0;Autopista_autovia;0.1805068059241503;True;;OK;0.7742747715271857;False;Burgos|A-1|202.3|209.3;Burgos|A-1|202.3|209.3|2024;v2 | Random Forest | Base;False
IMD_39239;2024;Burgos;A-1;209.3;213.0;23362.0;Autopista_autovia;0.1805068059241503;True;;OK;0.6086060252390196;False;Burgos|A-1|209.3|213;Burgos|A-1|209.3|213|2024;v2 | Random Forest | Base;False
IMD_39240;2024;Burgos;A-1;213.0;216.4;23362.0;Autopista_autovia;0.1805068059241503;True;;OK;0.5724696910547378;False;Burgos|A-1|213|216.4;Burgos|A-1|213|216.4|2024;v2 | Random Forest | Base;False
IMD_39241;2024;Burgos;A-1;216.4;220.9;23362.0;Autopista_autovia;0.1805068059241503;True;;OK;0.6167327668595564;False;Burgos|A-1|216.4|220.9;Burgos|A-1|216.4|220.9|2024;v2 | Random Forest | Base;False
IMD_39242;2024;Burgos;A-1;220.9;229.3;26160.0;Autopista_autovia;0.1894113149847094;True;;OK;0.8727345360171167;False;Burgos|A-1|220.9|229.3;Burgos|A-1|220.9|229.3|2024;v2 | Random Forest | Base;False
IMD_39243;2024;Burgos;A-1;229.3;232.4;36847.0;Autopista_autovia;0.1347735229462371;True;;OK;0.655282092457425;False;Burgos|A-1|229.3|232.4;Burgos|A-1|229.3|232.4|2024;v2 | Random Forest | Base;False
IMD_39244;2024;Burgos;A-1;232.4;235.0;43203.0;Autopista_autovia;0.1298983866861097;True;;OK;0.7096501334173041;False;Burgos|A-1|232.4|235;Burgos|A-1|232.4|235|2024;v2 | Random Forest | Base;False
IMD_39245;2024;Burgos;A-1;235.0;238.2;38337.0;Autopista_autovia;0.2896679448052795;True;;OK;0.7477950381464451;False;Burgos|A-1|235|238.2;Burgos|A-1|235|238.2|2024;v2 | Random Forest | Base;False
IMD_39246;2024;Burgos;A-1;238.2;242.5;38337.0;Autopista_autovia;0.2896679448052795;True;;OK;0.847670582821607;False;Burgos|A-1|238.2|242.5;Burgos|A-1|238.2|242.5|2024;v2 | Random Forest | Base;False
IMD_39247;2024;Burgos;A-1;242.5;244.5;13606.0;Autopista_autovia;0.2029251800676172;True;;OK;0.3780142674994296;False;Burgos|A-1|242.5|244.5;Burgos|A-1|242.5|244.5|2024;v2 | Random Forest | Base;False
IMD_39248;2024;Burgos;A-1;244.5;246.5;13606.0;Autopista_autovia;0.2029251800676172;True;;OK;0.3780142674994296;False;Burgos|A-1|244.5|246.5;Burgos|A-1|244.5|246.5|2024;v2 | Random Forest | Base;False
IMD_39249;2024;Burgos;A-1;246.5;247.3;13606.0;Autopista_autovia;0.2029251800676172;True;;OK;0.2117790903825244;False;Burgos|A-1|246.5|247.3;Burgos|A-1|246.5|247.3|2024;v2 | Random Forest | Base;False
IMD_39250;2024;Burgos;A-1;247.3;251.7;8028.0;Autopista_autovia;0.2330592924763328;True;;OK;0.4535343931963919;False;Burgos|A-1|247.3|251.7;Burgos|A-1|247.3|251.7|2024;v2 | Random Forest | Base;False
IMD_39251;2024;Burgos;A-1;251.7;252.8;8028.0;Autopista_autovia;0.2330592924763328;True;;OK;0.09893291504872094;False;Burgos|A-1|251.7|252.8;Burgos|A-1|251.7|252.8|2024;v2 | Random Forest | Base;False
IMD_39252;2024;Burgos;A-1;329.4;333.5;42644.0;Autopista_autovia;0.2455914079354657;True;;OK;0.8173530502155825;False;Burgos|A-1|329.4|333.5;Burgos|A-1|329.4|333.5|2024;v2 | Random Forest | Base;False
IMD_39253;2024;Burgos;A-1;333.5;336.7;42644.0;Autopista_autovia;0.2455914079354657;True;;OK;0.7264470651162854;False;Burgos|A-1|333.5|336.7;Burgos|A-1|333.5|336.7|2024;v2 | Random Forest | Base;False
IMD_39254;2024;Soria;A-11;21.218;26.278;4026.0;Autopista_autovia;0.3427719821162444;True;;OK;0.2259191745283102;False;Soria|A-11|21.218|26.278;Soria|A-11|21.218|26.278|2024;v2 | Random Forest | Base;False
IMD_39255;2024;Soria;A-11;26.278;36.6;3933.0;Autopista_autovia;0.3587592168827866;True;;OK;0.346159901485061;False;Soria|A-11|26.278|36.6;Soria|A-11|26.278|36.6|2024;v2 | Random Forest | Base;False
IMD_39256;2024;Soria;A-11;36.6;45.3;4009.0;Autopista_autovia;0.356946869543527;True;;OK;0.3118174198927418;False;Soria|A-11|36.6|45.3;Soria|A-11|36.6|45.3|2024;v2 | Random Forest | Base;False
IMD_39257;2024;Soria;A-11;45.3;53.0;4230.0;Autopista_autovia;0.3217494089834515;True;;OK;0.3354114893064093;False;Soria|A-11|45.3|53;Soria|A-11|45.3|53|2024;v2 | Random Forest | Base;False
IMD_39258;2024;Soria;A-11;53.0;60.6;4205.0;Autopista_autovia;0.404756242568371;True;;OK;0.2331848097043877;False;Soria|A-11|53|60.6;Soria|A-11|53|60.6|2024;v2 | Random Forest | Base;False
IMD_39259;2024;Soria;A-11;60.6;64.8;6149.0;Autopista_autovia;0.3075296796227029;True;;OK;0.24680274090090168;False;Soria|A-11|60.6|64.8;Soria|A-11|60.6|64.8|2024;v2 | Random Forest | Base;False
IMD_39260;2024;Soria;A-11;64.8;71.6;3720.0;Autopista_autovia;0.4400537634408602;True;;OK;0.17640346622854616;False;Soria|A-11|64.8|71.6;Soria|A-11|64.8|71.6|2024;v2 | Random Forest | Base;False
IMD_39261;2024;Soria;A-11;71.6;79.3;4240.0;Autopista_autovia;0.3941037735849056;True;;OK;0.2857703966449285;False;Soria|A-11|71.6|79.3;Soria|A-11|71.6|79.3|2024;v2 | Random Forest | Base;False
IMD_39262;2024;Soria;A-11;79.3;83.85;4240.0;Autopista_autovia;0.3941037735849056;True;;OK;0.2066946324508623;False;Soria|A-11|79.3|83.85;Soria|A-11|79.3|83.85|2024;v2 | Random Forest | Base;False
IMD_39263;2024;Burgos;A-11;105.3;111.5;4866.0;Autopista_autovia;0.3397040690505549;True;;OK;0.4663125506250456;False;Burgos|A-11|105.3|111.5;Burgos|A-11|105.3|111.5|2024;v2 | Random Forest | Base;False
IMD_39264;2024;Burgos;A-11;111.5;112.4;4866.0;Autopista_autovia;0.3397040690505549;True;;OK;0.09296773992915673;False;Burgos|A-11|111.5|112.4;Burgos|A-11|111.5|112.4|2024;v2 | Random Forest | Base;False
IMD_39265;2024;Burgos;A-11;112.4;112.9;4866.0;Autopista_autovia;0.3397040690505549;True;;OK;0.10077411482497953;False;Burgos|A-11|112.4|112.9;Burgos|A-11|112.4|112.9|2024;v2 | Random Forest | Base;False
IMD_39266;2024;Burgos;A-11;112.9;119.3;3023.0;Autopista_autovia;0.4498842209725438;True;;OK;0.3291041349965777;False;Burgos|A-11|112.9|119.3;Burgos|A-11|112.9|119.3|2024;v2 | Random Forest | Base;False
IMD_39267;2024;Valladolid;A-11;343.45;344.2;11801.0;Autopista_autovia;0.1627828150156766;True;;OK;0.21662479438068377;False;Valladolid|A-11|343.45|344.2;Valladolid|A-11|343.45|344.2|2024;v2 | Random Forest | Base;False
IMD_39268;2024;Valladolid;A-11;344.2;347.0;11801.0;Autopista_autovia;0.1627828150156766;True;;OK;0.2274724852599206;False;Valladolid|A-11|344.2|347;Valladolid|A-11|344.2|347|2024;v2 | Random Forest | Base;False
IMD_39269;2024;Valladolid;A-11;347.0;354.0;20144.0;Autopista_autovia;0.1032069102462271;True;;OK;0.8077238259056934;False;Valladolid|A-11|347|354;Valladolid|A-11|347|354|2024;v2 | Random Forest | Base;False
IMD_39270;2024;Valladolid;A-11;354.0;358.38;20144.0;Autopista_autovia;0.1032069102462271;True;;OK;0.794680714470179;False;Valladolid|A-11|354|358.38;Valladolid|A-11|354|358.38|2024;v2 | Random Forest | Base;False
IMD_39271;2024;Valladolid;A-11;393.9;395.6;7650.0;Autopista_autovia;0.2047058823529411;True;;OK;0.2601025883943312;False;Valladolid|A-11|393.9|395.6;Valladolid|A-11|393.9|395.6|2024;v2 | Random Forest | Base;False
IMD_39272;2024;Valladolid;A-11;395.6;410.2;7650.0;Autopista_autovia;0.2047058823529411;True;;OK;0.8434547096698672;False;Valladolid|A-11|395.6|410.2;Valladolid|A-11|395.6|410.2|2024;v2 | Random Forest | Base;False
IMD_39273;2024;Valladolid;A-11;410.2;412.1;7650.0;Autopista_autovia;0.2047058823529411;True;;OK;0.2677874942496958;False;Valladolid|A-11|410.2|412.1;Valladolid|A-11|410.2|412.1|2024;v2 | Random Forest | Base;False
IMD_39274;2024;Zamora;A-11;412.1;417.1;7629.0;Autopista_autovia;0.2106435968016778;True;;OK;0.3939871961866691;False;Zamora|A-11|412.1|417.1;Zamora|A-11|412.1|417.1|2024;v2 | Random Forest | Base;False
