PROV;ANYO;N_ACC;VEH_KM;pred_jerarquico
Lugo;2022;104;1659203838.9;99.4
Lugo;2023;71;1736924244.0;110.4
Lugo;2024;93;1716931440.1;103.4
Madrid;2016;1682;15257981291.5;
Madrid;2017;1676;15595421868.9;1802.6
Madrid;2018;1739;16208274900.5;1915.0
Madrid;2019;1614;15676531491.1;1924.7
Madrid;2021;1287;11660846135.5;1336.2
Madrid;2022;1525;15762624344.8;1045.6
Madrid;2023;1481;16573999003.0;1486.2
Madrid;2024;1391;16839821527.8;1352.9
Murcia;2016;86;3938635753.6;
Murcia;2017;129;4068102238.8;159.5
Murcia;2018;178;4371127113.8;179.9
Murcia;2019;166;4429809783.2;199.0
Murcia;2021;143;3206159453.6;139.5
Murcia;2022;182;4406404202.6;178.8
Murcia;2023;215;4574151967.0;181.6
Murcia;2024;273;5035726821.8;202.7
Málaga;2016;536;4962314535.9;
Málaga;2017;565;5127259172.6;499.2
Málaga;2018;586;5220864022.4;554.5
Málaga;2019;607;5330830449.6;517.8
Málaga;2021;531;3778717920.0;404.8
Málaga;2022;131;5330605036.4;466.0
Málaga;2023;455;5544571364.7;258.1
Málaga;2024;470;5771348816.4;434.8
Navarra;2016;5;137440950.8;
Navarra;2017;7;144636506.0;2.0
Navarra;2018;1;166379052.3;2.3
Navarra;2019;1;166045241.4;2.2
Navarra;2021;3;114557670.0;1.5
Navarra;2022;1;170733261.4;1.9
Navarra;2023;1;164401949.5;2.0
Navarra;2024;1;173923792.1;2.1
Ourense;2016;85;1412798008.7;
Ourense;2017;96;1445718423.0;82.8
Ourense;2018;90;1448113206.8;90.6
Ourense;2019;80;1332802088.7;81.5
Ourense;2021;60;1025753059.3;56.7
Ourense;2022;67;1281924054.7;68.7
Ourense;2023;58;1320027576.3;75.6
Ourense;2024;80;1327348501.8;70.4
Palencia;2016;31;914716426.7;
Palencia;2017;45;906671320.4;38.8
Palencia;2018;44;937803292.7;43.2
Palencia;2019;31;966151165.5;42.5
Palencia;2021;30;720204853.0;30.1
Palencia;2022;35;991433432.1;40.5
Palencia;2023;47;1019095251.4;41.4
Palencia;2024;32;1034995704.2;42.6
Pontevedra;2016;395;2678476744.3;
Pontevedra;2017;478;2700455281.2;365.6
Pontevedra;2018;479;2813975618.5;482.9
Pontevedra;2019;469;2847783719.5;485.2
Pontevedra;2021;335;2170733759.6;337.1
Pontevedra;2022;368;2832141799.6;367.7
Pontevedra;2023;383;2884866792.0;420.0
Pontevedra;2024;376;2861793949.3;405.1
Salamanca;2016;116;1340962578.2;
Salamanca;2017;81;1375747886.2;96.3
Salamanca;2018;122;1413298497.0;99.3
Salamanca;2019;117;1461169065.1;103.5
Salamanca;2021;79;995437515.3;68.8
Salamanca;2022;86;1530465043.6;99.0
Salamanca;2023;86;1474551400.3;94.3
Salamanca;2024;77;1511645091.1;95.5
Segovia;2016;63;1149649621.6;
Segovia;2017;72;1182996322.6;79.5
Segovia;2018;99;1190263019.9;84.4
Segovia;2019;76;1219183761.7;84.3
Segovia;2021;56;858491297.2;57.7
Segovia;2022;77;1177749981.2;74.5
Segovia;2023;89;1238448670.8;79.8
Segovia;2024;96;1257015154.6;81.7
Sevilla;2016;343;4005060336.4;
Sevilla;2017;333;4130992682.3;361.2
Sevilla;2018;421;4303788687.8;393.8
Sevilla;2019;381;4491423021.6;419.9
Sevilla;2021;332;3267362613.1;299.8
Sevilla;2022;336;4669432695.0;376.4
Sevilla;2023;383;4570537598.8;353.1
Sevilla;2024;382;4736857187.3;410.2
Soria;2016;63;908366382.8;
Soria;2017;44;866438083.2;49.1
Soria;2018;57;907042196.4;51.2
Soria;2019;54;855764528.1;47.7
Soria;2021;37;619101354.5;33.6
Soria;2022;37;900873432.3;45.2
Soria;2023;44;937125202.4;47.1
Soria;2024;39;933254672.6;47.7
Tarragona;2016;290;3557020921.8;
Tarragona;2017;298;3730873439.8;306.5
Tarragona;2018;310;3872600471.8;335.7
Tarragona;2019;330;3820846701.5;317.0
Tarragona;2021;256;2975290539.4;257.1
Tarragona;2022;360;4187594138.1;307.9
Tarragona;2023;343;4462390707.3;359.8
Tarragona;2024;369;4511858546.4;374.9
Teruel;2016;72;893583244.3;
Teruel;2017;86;948382108.6;70.0
Teruel;2018;76;1032731525.0;80.9
Teruel;2019;67;1070396778.2;78.1
Teruel;2021;61;748702877.3;53.7
Teruel;2022;75;1041657043.6;71.5
Teruel;2023;66;1218544136.9;81.1
Teruel;2024;81;1821636206.7;122.0
Toledo;2016;295;3968620199.4;
Toledo;2017;291;4161275953.8;296.7
Toledo;2018;280;4334829734.5;320.5
Toledo;2019;283;4484431392.8;304.3
Toledo;2021;250;3162168228.4;216.9
Toledo;2022;284;4547338646.8;285.0
Toledo;2023;343;4678486342.2;303.9
Toledo;2024;281;4707571319.9;328.1
Valencia;2016;687;7295157523.1;
Valencia;2017;690;7521570709.3;693.2
Valencia;2018;755;7820378909.9;720.7
Valencia;2019;743;8160617071.9;791.9
Valencia;2021;613;6453689773.2;631.8
Valencia;2022;613;8414323609.7;666.0
Valencia;2023;621;8780278472.4;641.6
Valencia;2024;650;8900092343.1;647.5
Valladolid;2016;157;2446680517.4;
Valladolid;2017;187;2475107536.0;167.4
Valladolid;2018;198;2566280133.3;190.1
Valladolid;2019;183;2615498490.0;186.2
Valladolid;2021;159;1958437661.7;136.1
Valladolid;2022;141;2582987400.8;167.4
Valladolid;2023;156;2711768282.7;167.5
Valladolid;2024;152;2654566124.3;166.8
Zamora;2016;63;1467029468.5;
Zamora;2017;76;1510488889.9;76.3
Zamora;2018;77;1528296282.0;79.8
Zamora;2019;74;1554033635.9;78.6
Zamora;2021;69;1158356358.0;57.1
Zamora;2022;69;1581611930.1;76.1
Zamora;2023;68;1578482725.7;74.8
Zamora;2024;73;1631141927.7;76.5
Zaragoza;2016;326;4232367289.0;
Zaragoza;2017;456;4403899260.6;371.8
Zaragoza;2018;376;4439662074.5;459.4
Zaragoza;2019;357;4453038600.3;390.4
Zaragoza;2021;337;3406761811.4;295.0
Zaragoza;2022;297;4489447263.4;354.8
Zaragoza;2023;339;4562447411.9;335.9
Zaragoza;2024;324;4697436112.8;372.2
Álava;2016;32;316290633.2;
Álava;2017;24;328494098.0;28.6
Álava;2018;36;294301781.2;26.1
Ávila;2016;83;862859821.2;
Ávila;2017;89;914335691.0;71.7
Ávila;2018;79;907172839.6;73.2
Ávila;2019;46;972239958.7;74.4
Ávila;2021;66;678545978.7;49.0
Ávila;2022;74;931769209.9;67.7
Ávila;2023;65;949894628.8;69.3
Ávila;2024;75;963757699.4;67.8
